soc_code,title,job_zone,ability,skill,knowledge,work_activity,work_style,work_value,interest,work_context,cumulative
15-1211.00,Computer Systems Analysts,3.0,0.7109,0.8523,0.8049,0.5787,0.7333,0.0,0.9811,0.6799,0.6676
15-1253.00,Software Quality Assurance Analysts and Testers,4.0,0.8153,0.8271,0.7871,0.603,0.4485,0.0,0.9524,0.6367,0.6338
15-1221.00,Computer and Information Research Scientists,5.0,0.7383,0.8231,0.5174,0.5016,0.8543,0.0,0.9046,0.6561,0.6244
15-1243.00,Database Architects,4.0,0.8669,0.9128,0.7384,0.4752,0.7624,0.0,0.4887,0.7332,0.6222
15-2099.01,Bioinformatics Technicians,4.0,0.6821,0.6802,0.4542,0.6528,0.7305,0.0,0.9345,0.7997,0.6167
15-1243.01,Data Warehousing Specialists,4.0,0.9187,0.8592,0.8386,0.7018,0.4811,0.0,0.3843,0.7499,0.6167
15-1254.00,Web Developers,3.0,0.7821,0.8906,0.663,0.6988,0.8435,0.0,0.3118,0.7032,0.6116
15-1242.00,Database Administrators,4.0,0.8542,0.8398,0.7623,0.6549,0.4887,-0.0,0.3783,0.7992,0.5972
15-2031.00,Operations Research Analysts,5.0,0.8258,0.4942,0.6036,0.436,0.719,0.0,0.9086,0.7326,0.59
15-1251.00,Computer Programmers,4.0,0.863,0.8185,0.6158,0.6474,0.4862,0.0,0.4508,0.7227,0.5756
15-1241.00,Computer Network Architects,4.0,0.7347,0.8238,0.5816,0.2186,0.7066,0.0,0.9056,0.6194,0.5738
13-2099.01,Financial Quantitative Analysts,5.0,0.835,0.4265,0.6384,0.5753,0.4827,0.0,0.8795,0.6914,0.5661
15-2041.01,Biostatisticians,5.0,0.7815,0.5051,0.3478,0.5547,0.6985,0.0,0.8136,0.8114,0.5641
15-2041.00,Statisticians,5.0,0.7575,0.4006,0.5219,0.5373,0.5261,0.0,0.9555,0.7308,0.5537
15-1299.05,Information Security Engineers,4.0,0.7661,0.7804,0.7366,0.3389,0.5523,0.0,0.3768,0.7439,0.5369
